X,Y,OBJECTID,UNIT_CODE,UNIT_NAME,DATE_EDIT,STATE,REGION,GNIS_ID,UNIT_TYPE,CREATED_BY,PARKNAME,CreationDa,Creator,EditDate,Editor,GlobalID
-108.234729241226,45.1036292861905,1,BICA,Bighorn Canyon National Recreation Area,"20240906",MT,IM,"767934",National Recreation Area,Lands,Bighorn Canyon,,NPS_WASO_LANDS,"20241001105621",NPS_WASO_LANDS,{F8C2683C-619C-4B65-AF53-4193E54426FF}
-156.132537367411,20.6994272494342,2,HALE,Haleakala National Park,"20240918",HI,PW,"358382",National Park,Lands,Haleakala,,NPS_WASO_LANDS,"20241001105621",NPS_WASO_LANDS,{30DB20D0-67FA-4A3A-BE71-1EA734CB4D5A}
-83.1350419396092,39.2788119111293,3,HOCU,Hopewell Culture National Historical Park,"20240918",OH,MW,"1888931",National Historical Park,Lands,Hopewell Culture,,NPS_WASO_LANDS,"20241001105621",NPS_WASO_LANDS,{8D95EC79-3CAD-4C33-8732-DB52022FD10B}
-87.0328753176408,41.6595843107316,4,INDU,Indiana Dunes National Park,"20240912",IN,MW,"446903",National Park,Lands,Indiana Dunes,,NPS_WASO_LANDS,"20241001105621",NPS_WASO_LANDS,{B259CB52-3F6E-4980-91A9-3BFA7CB488AD}
-90.1754047963866,38.6234536852314,5,JEFF,Gateway Arch National Park,"20240918",IL,MW,"765817",National Park,Lands,Gateway Arch,,NPS_WASO_LANDS,"20241001105621",NPS_WASO_LANDS,{957603B5-585D-43EF-A655-27AD3C6BB744}
-84.3717416231502,33.754905032472,6,MALU,"Martin Luther King, Jr., National Historical Park","20240918",GA,SE,"1704967",National Historical Park,Lands,Martin Luther King Jr.,,NPS_WASO_LANDS,"20241001105621",NPS_WASO_LANDS,{3D4BDC42-89F8-4B48-9323-518DCFD7BCE7}
-77.5218801254511,38.8316509016913,7,MANA,Manassas National Battlefield Park,"20240911",VA,NC,"1470042",National Battlefield Park,Lands,Manassas,,NPS_WASO_LANDS,"20241001105621",NPS_WASO_LANDS,{3563A3F7-B95B-403F-B814-D834B10339EF}
-115.539365504192,35.0971794087841,8,MOJA,Mojave National Preserve,"20240917",CA,PW,"1888945",National Preserve,Lands,Mojave,,NPS_WASO_LANDS,"20241001105621",NPS_WASO_LANDS,{A7E63C47-8247-4E2E-B5EF-7E75E85B8A82}
-105.674894873571,35.5381212548204,9,PECO,Pecos National Historical Park,"20240906",NM,IM,"937161",National Historical Park,Lands,Pecos,,NPS_WASO_LANDS,"20241001105621",NPS_WASO_LANDS,{49013320-90D2-4169-BA50-96747A7D0939}
-77.3810291069488,38.585573898496,10,PRWI,Prince William Forest Park,"20240910",VA,NC,"1472799",Other Designation,Lands,Prince William Forest,,NPS_WASO_LANDS,"20241001105621",NPS_WASO_LANDS,{F6B6DBAA-79A2-41D7-BFFC-0CD08412FDEB}
