flight,dep_time,dep_delay
1545,517,2
1714,533,4
1141,542,2
725,544,-1
461,554,-6
1696,554,-4
507,555,-5
5708,557,-3
79,557,-3
301,558,-2
49,558,-2
71,558,-2
194,558,-2
1124,558,-2
707,559,-1
1806,559,0
1187,559,-1
371,600,0
4650,600,0
343,601,1
1919,602,-8
4401,602,-3
1895,606,-4
1743,606,-4
1077,607,0
3768,608,8
303,611,11
135,613,3
709,615,0
575,615,0
245,622,-8
1837,623,13
496,623,-4
4626,624,-6
4599,624,-6
27,627,-3
413,628,-2
1665,628,-2
303,629,-1
4646,629,-1
1019,629,-1
4144,632,24
711,635,0
389,637,-8
1002,639,-1
556,643,-3
926,643,-2
1701,644,8
102,645,-2
883,646,1
1496,646,1
203,651,-4
117,652,-3
1383,653,-7
1415,655,0
1865,655,-5
2003,655,-5
305,656,-4
1815,656,-3
4534,656,-9
1115,656,-4
1879,657,-3
1547,658,-2
399,658,-2
2279,659,-1
981,659,-1
831,659,-6
960,659,-1
1203,701,1
671,702,2
1092,709,9
715,711,-4
825,712,-3
544,715,2
850,717,-3
987,719,-2
962,723,-2
715,724,-6
11,724,-1
2083,725,-5
1162,727,-3
473,728,-4
11,729,-1
20,732,-3
1601,732,3
1111,732,47
44,733,-3
643,734,-3
309,739,-6
1479,739,0
983,741,-4
33,743,13
341,743,-6
495,743,13
59,745,0
1668,746,0
3737,749,39
2263,752,-3
477,752,2
1733,752,-7
2267,753,-2
2047,754,-5
733,754,-1
517,758,-2
1843,759,-1
2119,800,0
4406,800,-10
1172,801,-4
1838,803,-7
223,803,3
1959,804,-6
219,805,0
3,805,5
4490,805,-10
269,807,-3
4388,809,-6
3538,810,0
2395,810,-5
4260,811,-4
4576,811,101
675,811,-4
4537,812,-2
914,813,-2
346,814,4
1051,817,7
717,820,0
27,820,-10
301,820,0
181,821,1
4418,821,-4
4104,822,-8
487,823,-2
1223,823,0
1855,824,-6
611,825,-2
443,826,71
1480,826,9
905,828,-2
1506,828,5
443,829,-1
1592,829,-1
313,830,0
4610,830,-5
4412,831,-4
4521,832,-8
835,833,-2
717,835,0
4558,839,-11
1357,840,-5
2304,840,-5
553,846,1
3944,848,853
1741,848,-3
4548,851,0
869,851,-8
1626,851,11
3848,852,-3
59,853,8
1747,855,-4
1,856,-4
2143,856,-4
1296,856,1
51,857,-3
181,857,-8
485,857,-3
1670,857,6
4478,858,-2
1885,859,-1
407,859,-1
1170,900,0
580,902,-1
4655,903,43
1401,904,-2
1061,905,0
1643,906,23
56,908,-2
1467,908,-7
1220,908,0
655,909,59
647,912,12
1601,912,6
1519,913,-5
1589,914,-6
783,914,14
721,917,-3
41,917,2
1103,917,-3
1305,920,15
4582,920,0
120,921,21
1004,923,4
215,926,-3
57,926,4
1597,926,-2
1335,927,-3
4636,929,0
766,929,4
1148,930,25
375,931,1
255,931,1
251,932,2
4,933,-4
17,933,29
3895,933,-2
2137,936,-4
1903,936,-9
361,937,-3
1807,937,-3
319,940,-5
4654,940,-15
679,941,-4
4175,946,-13
600,947,-6
4681,950,-4
4670,953,-6
222,953,32
75,955,-5
1847,956,-4
856,957,144
2379,959,-3
1177,959,-1
503,1003,-7
196,1003,4
1625,1005,5
3795,1007,-3
2319,1009,-6
1103,1010,-5
1441,1010,-5
5736,1011,10
1529,1011,-4
347,1021,-2
4709,1024,-5
4471,1024,-6
731,1025,5
501,1025,34
19,1026,-4
1004,1028,2
179,1029,-1
4277,1030,-5
23,1031,1
1294,1031,1
4180,1032,-3
779,1033,16
321,1037,7
985,1038,8
31,1042,2
4322,1044,-1
455,1044,-1
1060,1044,3
739,1047,-8
1275,1047,-3
4589,1048,-2
373,1053,3
1647,1054,-5
4479,1056,-3
2185,1056,-4
2171,1058,-2
321,1059,-1
3792,1059,-1
369,1059,6
545,1101,18
2071,1103,3
688,1105,18
4485,1107,-8
2099,1109,-6
24,1111,-4
285,1112,12
1031,1113,-2
1086,1114,134
4495,1120,96
1057,1120,-5
405,1123,13
